url,title,full_title,publication_date,pdf_url,institution,og_title,og_description,wri_published,wri_authors,scrape_timestamp,status
https://www.wri.org/research/designing-clean-development-mechanism-meet-needs-broad-range-interests,Designing the Clean Development Mechanism to meet the needs of a broad range of interests,Designing the Clean Development Mechanism to meet the needs of a broad range of interests,2000-01-08,https://files.wri.org/d8/s3fs-public/pdf/cdm_design_note.pdf,,Designing the Clean Development Mechanism to meet the needs of a broad range of interests,"SynopsisDetails struggles over basic design and features of the Clean Development Mechanism established in the 1997 Kyoto Protocol to the Framework Convention on Climate Change. Reviews different designs and explores how an ""open architecture"" CDM might operate. Executive SummaryInternational climate change negotiations are struggling over the basic design and features of the Clean Development Mechanism (CDM), established in the 1997 Kyoto Protocol to the Framework Convention on Climate Change.",August 1 2000,,2026-06-19T15:36:59.597404+00:00,ok
https://www.wri.org/research/fact-sheet-connection-between-climate-change-and-recent-extreme-weather-events,Fact Sheet: The Connection Between Climate Change and Recent Extreme Weather Events,Fact Sheet: The Connection Between Climate Change and Recent Extreme Weather Events,2012-02-08,https://files.wri.org/d8/s3fs-public/pdf/connection_between_climate_change_and_extreme_weather.pdf,,Fact Sheet: The Connection Between Climate Change and Recent Extreme Weather Events,"SynopsisThe United States has been experiencing ongoing extreme heat, droughts, and wildfires. This fact sheet examines the connection between climate change and these recent extreme weather events. Key FindingsExtreme Heat Government scientists at NOAA are saying that man-made climate change has increased the probability of longer and more intense heat waves.",August 2 2012,,2026-06-19T15:36:59.931089+00:00,ok
https://www.wri.org/research/how-will-clean-development-mechanism-ensure-transparency-public-engagement-and,"How will the Clean Development Mechanism ensure transparency, public engagement and accountability","How will the Clean Development Mechanism ensure transparency, public engagement and accountability",2000-01-11,https://files.wri.org/d8/s3fs-public/pdf/pp-note.pdf,,"How will the Clean Development Mechanism ensure transparency, public engagement and accountability","SynopsisPinpoints the areas within the CDM's regulations where public access and participation should be introduced. Highlights the importance and the benefits of including such measures in the already complex Kyoto Protocol on climate change. Executive SummaryAmong the most important items of the Kyoto Protocol requiring elaboration is the Clean Development Mechanism (CDM), the Protocol's instrument for financing lower-emission sustainable development in the countries of the South.",November 1 2000,,2026-06-19T15:37:00.037380+00:00,ok
https://www.wri.org/research/moving-fulcrum,Moving the Fulcrum,Moving the Fulcrum,2012-25-07,https://files.wri.org/d8/s3fs-public/pdf/moving_the_fulcrum.pdf,,Moving the Fulcrum,"SynopsisTargeting public finance to leverage private sector capital can help meet the several hundred billion dollars of annual low-carbon investment required in developing countries. This working paper serves as a primer, demonstrating how the public sector can employ different types of public financing instruments — whether loans, equity, or de-risking instruments — alongside policy and technical support to scale-up private sector investment in low-carbon markets.",July 25 2012,,2026-06-19T15:37:00.323012+00:00,ok
https://www.wri.org/research/restoring-trees-landscape-creating-shovel-ready-jobs-across-united-states,Restoring Trees to the Landscape: Creating “Shovel-Ready” Jobs Across the United States,Restoring Trees to the Landscape: Creating “Shovel-Ready” Jobs Across the United States,2020-27-04,https://files.wri.org/d8/s3fs-public/expert-note-tree-restoration.pdf,,Restoring Trees to the Landscape: Creating “Shovel-Ready” Jobs Across the United States,"SynopsisCongress could immediately create hundreds of thousands of jobs while advancing a cleaner economy by investing in restoring trees. Jobs on tree planting crews, in nurseries, and as foresters are literally “shovel-ready,” and support the single largest near-term opportunity for carbon dioxide removal at scale in the United States.",April 27 2020,,2026-06-19T15:37:00.520575+00:00,ok
https://www.wri.org/research/public-transit-and-transportation-infrastructure-creating-jobs-and-supporting-transit,Public Transit and Transportation Infrastructure: Creating Jobs and Supporting Transit Across the United States,Public Transit and Transportation Infrastructure: Creating Jobs and Supporting Transit Across the United States,2020-27-04,https://files.wri.org/d8/s3fs-public/expert-note-public-transportation.pdf,,Public Transit and Transportation Infrastructure: Creating Jobs and Supporting Transit Across the United States,SynopsisCongress could immediately create millions of good jobs and support state and local governments nationwide by dramatically increasing investment in public transit systems and transportation infrastructure.,April 27 2020,,2026-06-19T15:37:00.863117+00:00,ok
https://www.wri.org/research/will-international-investment-rules-obstruct-climate-protection-policies,Will international investment rules obstruct climate protection policies?,Will international investment rules obstruct climate protection policies?,2001-01-04,https://files.wri.org/d8/s3fs-public/pdf/investrules.pdf,,Will international investment rules obstruct climate protection policies?,"SynopsisAn assessment of the potential interaction between the Clean Development Mechanism (CDM) and the framework of international investment law. Executive SummaryRules governing the global environment and the international economy are currently decided in separate arenas. Yet, environmental agreements can have strong economic implications, particularly with the growing use of market mechanisms. Economic liberalization rules, meanwhile, may limit the effectiveness of environmental agreements.",April 1 2001,,2026-06-19T15:37:01.060580+00:00,ok
https://www.wri.org/research/case-study-information-use-nepals-national-adaptation-programme-action,Case Study: Information Use in Nepal's National Adaptation Programme of Action,Case Study: Information Use in Nepal's National Adaptation Programme of Action,2012-04-09,https://files.wri.org/d8/s3fs-public/pdf/information_use_in_nepals_national_adaptation_programme.pdf,,Case Study: Information Use in Nepal's National Adaptation Programme of Action,"SynopsisThe Nepalese government lacks crucial information and evidence necessary for climate change adaptation decision making. Despite this challenge, there has been significant movement around climate change adaptation in the country, most notably the successful development of the National Adaptation Programme of Action (NAPA) in September 2010 by the Ministry of Environment. This case study examines how Nepal’s NAPA process identified urgent and immediate priorities in a situation of significant data gaps and uncertainty.",September 4 2012,,2026-06-19T15:37:01.087221+00:00,ok
https://www.wri.org/research/spatial-characterization-urban-land-use-through-machine-learning,Spatial Characterization of Urban Land Use through Machine Learning,Spatial Characterization of Urban Land Use through Machine Learning,2020-08-06,https://files.wri.org/d8/s3fs-public/spatial-characterization-urban-land-use-machine-learning.pdf,,Spatial Characterization of Urban Land Use through Machine Learning,"SynopsisThis technical note describes the data sources and methodology underpinning a computer system for the automated generation of land use/land cover (LULC) maps of urban areas. Deploying a rich taxonomy to distinguish between different types of LULC within a built-up area, rather than merely distinguishing between artificial and natural land cover, enables a huge variety of potential applications for policy, planning, and research.",June 8 2020,,2026-06-19T15:37:01.256973+00:00,ok
https://www.wri.org/research/canadas-forests-crossroads,Canada's Forests at a Crossroads,Canada's Forests at a Crossroads,2000-01-03,https://files.wri.org/d8/s3fs-public/pdf/gfw_canada.pdf,,Canada's Forests at a Crossroads,"SynopsisExplores the scale and magnitude of timber, energy, and mineral resources development within Canada's northern frontier, home to over a third of the world's boreal forest and a tenth of total global forest cover. Executive SummaryIn recent years, international attention has increasingly focused on the rapid conversion and degradation of the world's tropical forests. Yet half of the remaining large tracts of natural forest are found in northern (or boreal) regions.",March 1 2000,,2026-06-19T15:37:01.279211+00:00,ok
